COCO ID,Caption
681396,a plate of food that has some french fries and a burger
10813,A cheese burger resting next to a pile of fries.
43133,"Two plates with chips, and one with a burger on it."
784808,a hotdog and burger on a blue plate
125560,"Cole slaw, burger with tomato and lettuce and condiments arranged on a white plate with green stripes."
515903,A plate with a burger and fries on it
45512,a plate with chis sits next to a plate with chips and a burger
521270,a burger on a plate and a glass of water
189199,"A burger is stacked with tomatoes, onion, lettuce and a pickle on the side."
3044,A burger and a bunch of fries on a plate.
818197,A white plate topped with a burger and criss cut fries.
336885,A chicken burger with corn and fries on the side.
788971,A burger sitting next to a cup of soup and crackers.
404471,a meal is set comprised of salad and a burger
281747,Quarter of a giant burger served on a plastic plate
46742,A plate of chips and a plate of chips and a burger with a saltshaker nearby.
702510,There is a chicken burger next to a bowl of soup on the table.
116978,A young person eating pizza and the other eating a burger and fries.
774362,a little girl is eating a burger outside
817510,A big burger is served with a side of waffle fries.
9877,"A red and white napkin covered with fries, a burger and coleslaw"
344555,A guy with a cigarette pointing at a burger
783851,a close up of a plate of food with a hot dog and a burger
707898,A cheese burger that has some lettuce and tomato on it.
788357,A view of a burger with a hotdog and salad on the plate.
358631,Two burger sandwiches on top of a table.
65975, a person eating a burger and fries on his plate
245052,A burger and fries with a glass of wine and a knife sticking out of the burger.
530076,A burger is pierced with a knife on a cutting board.
44435,Two plates with a burger and some chips.
195237,A burger and a salad are being displayed on a plate. 
372729,On a plate is kept a burger and a bowl of broccoli and a fork.
718851,there is a burger that is topped with a donut
100483,Fast food burger and fries sitting on the wrappers.
190122,a burger and salad are on a plate for dinner
805379,"A burger sitting on a table, with another next to it."
239862,A plate with a burger and fries and the burger has a knife in it.
413013,"A plate of food featuring burger patties, potatoes and carrots. "
248383,A girl eats a messy burger with ketchup on her face.
68231,A half eaten burger with a plate of fries next to mason jars.
789025,Man biting into burger with a large festival behind him
402090,close up of a chicken burger in a persons hand
798097,A perso holding a small burger with an open laptop on a table.
229375,A lavish burger on a plate in a restaurant prior to consumption
432836,A burger that is on a plate on a table.
217562,A crowded table has a plate containing a burger with sauce and side of vegetables. 
825720,This is two birds pecking at the remnants of a burger at an outdoor restaurant.
537317,A burger that is sitting on top of foil.
192039,a close up of a plate with a burger and a hot dog
521108,A plate that has a burger and a bucket of fries on it.
77824,There are french fries and a burger on the table.
423064,A burger and french fries on a table.
344240,A man with a cigarette giving a thumbs up and pointing at his burger on a plate.
401999,pasta salad and a burger on a plate
180886,a burger and a pickle sit on a plate
801367,a man is holding up a tiny burger
784361,A plate with a burger that is halfway eaten. 
108983,"A burger with fried chicken, lettuce, and pickles on it."
121402,A plate of food with a burger and coleslaw.
46626,A woman eats a burger next to a street vendor.
66830,Someone holding a burger with a jar of beer. 
588697,a try that has some soda and a burger on it
521729,A white plate topped with a burger and fries.
725274,A burger with a doughnut for the bun.
637632,A cutting sitting upright in a pottery bowl on a coffee table
38967,Two cups of coffee are on a table by an italian coffee maker.
178131,"Shot of living area that includes chairs, a couch, a coffee table and a television."
345631,A woman siting at a table in front of a coffee cup in a a kitchen.
609666,a kitchen with a sink windows and a coffee maker
424013,A coffee cup with lots of weird things painted on its inside.
41205,Two cups of coffee are on a table next to a coffee maker.
541868,"A monitor, keyboard, coffee cup, and plastic bottle sit on a table. "
312467,"A kitchen with a refrigerator, microwave, coffee maker, sink and a blender."
393699,a kitchen with two microwaves in it and a coffee maker
357528,"A living area with a group of sofas, coffee table and television."
278950,"white kitchen sink with white coffee cups, wine glasses and knives"
329277,A shelf with many books and coffee cups.
499483,"A banana, a muffin and a stabucks coffee"
488991,There is a fancy high end coffee maker on a granite counter top.
398689,A kitchen area with counter holding a laptop and coffee cup.
57319,A dessert plate with cobbler and a cup of coffee to the side
275881,"A kitchen with a stove, sink and coffee maker."
35841,two small cups filled with coffee next to a silver coffee pot
513836,"A break room with tables, chairs, microwave and a coffee maker."
119426,There is a coffee cup and water bottle on a desk
44511,Tow cups of coffee are presented in front of a vintage single cup coffee maker.
418457,A very nice coffee mug with lots of writing.
303249,a duncan donut with a cup of coffee
299684,There is a white coffee cup with a skull and bones on it next to a knife
76616,A computer sits atop a computer desk with a coffee cup.
105160,A coffee cake sitting on a blue plate with a spoon containing a smiley face.
64933,"a living room with a leather sofa , flat screen television, throw pillows and a wood slatted coffee table."
4459,Close up of a white kitchen setup with a coffee maker on counter.
564497,A laptop in a bright yellow coffee house.
628302,A long counter holding an assortment of coffee related items.
502504,Three motor cycles are sitting in the street outside a coffee house as people walk by.
51855,some brown kitchen cabinets in a kitchen and a coffee maker
559351,A man taking a selfie in his microwave reflection of himself and coffee cup.
481474,Decorated coffee cup with spoon next to miniature bicycle.
419720,A coffee cup has labels showing different amounts. 
562088,Corner desk with coffee pot and computer on top in front of window
54841,A breakfast bowl consisting of blueberry sconce and strawberry with side of coffee
491334,A coffee maker sitting on top of a table.
35022,Two cups of black coffee sitting next to a coffee pot. 
695936,A woman pouring coffee into cups on a counter.
634284,"A coffee shop is equipped with pots of coffee, paper cups and other supplies."
591968,a kitchen with a sink a coffee maker and a microwave
157562,"The inside of a coffee shop with a big sofa, chairs and various lights and signs through the shop."
494695,A coffee cup next to a muffin and a banana.
72439,"A living room with two sofas, a coffee table, throw pillows, a large entertainment center, and a flatscreen tv."
482170,a coffee cup with a spoon and a small bike next to it
421544,A coffee cup with clever graphics on the inside.
412681,A view from a hotel suite bedroom showing the couch and coffee table.
344811,A delicious look coffee cake appears to be made with blackberries and has a crumb topping. 
549727,A man holding a pirate coffee cup in his right hand.
62756,Shades of coffee combined with white create a subtly sophisticated bathroom.
296546,Decorated coffee cup and knife sitting on a patterned surface.
358984,A woman sitting at a table with a coffee cup and a Halloween Decoration.
579438,An unattached toilet sits on a sidewalk with coffee mugs on its lid
711416,a bunch of green bananas and some ripe bananas next to a coffee cup
56419,A bowl of food and a cup of coffee on a checkered placemat. 
420839,The large coffee mug has designs inside and outside of the cup.
475927,A cup of coffee with a small piece of melba toast on a table.
364107,"A view of living room's sofa, television and coffee table."
636399,A counter in a coffee house with choices of coffee and syrup flavors.
367796,Closeup of  bathroom sink with oral care devices and a coffee mug.
489429,A mug is being filled with coffee near a cream container.
592445,"A small kitchen with a sink, mini fridge, coffee maker and a microwave. "
416967,a hot dog with mustard and a soda
298708,Two plates with hamburgers and chips in each and one can of soda on the side. 
102547,A desk covered with soda cans and a lap top is in the corner.
408582,A hot dog and soda on a table with a mushroom
496365,People are eating pizza and drinking soda at a table. 
104188,A picture of two hot dogs and a cup of soda
620152,Hoagie with fried food and soda on table
820736,The black and white dog chews on the empty soda bottle.
359138,Someone placed a bottle of soda on the window sill.
216762,A bottle of soda sitting on a black bench
37523,"There is an iphone, a blue pen, and a soda"
391520,two hotdogs on white sheets next to a grape soda from a brown bag
746917,Two people enjoying hot dogs and soda pop.
14552,A man is at a table eating pizza with a soda machine behind him.
368320,A BBQ sandwish is paired with a soda on a faux-wood table.
219375,A soda bottle sitting on a park bench.
562169,Looking down at a cherry soda and a box of fresh powdered donuts
4014,an open fully stocked fridge with eggs and soda
215269,"A small pizza and a soda pop sit upon a table with magazines, a phone and other items."
307443,A sandwich with a soda on top of a table.
50160,A dinner plate with spaghetti and broccoli with soda for the drink
75497,"Two friends eat pizza fresh out of the box with soda nearby,"
70015,A kitchen with a soda machine and black and white tiles.
490954,"A delicious meal of rice,chicken, and broccoli with water and soda to finish the meal. "
532025,a sandwich a fork and two soda pops
475935,Table with assorted foods and a soda in a glass.
411002,a plate of fruit and vegetables sits in front of some soda 
100414,Two hot dogs sit on a white paper plate near a soda cup which are sitting on a green picnic table while a bike and a silver car are parked nearby.
311721,a close up of a sandwich on a plate near a soda
11234,A pastry and a bottle of orange soda on a red tray.
83849,A cup with soda in front of a panini with a side of greens.
365464,A plate of a roast beef soda and cola in a glass cup.
126980,A hot dog with condiments and a glass full of soda sits on top of a diner table.
544822,a very big pizza sits in front of a cup of soda
512230,A large pizza and a soda sitting on a table.
38945,"An iphone, pen and soda can on a table."
369682,"On the table are a banana split, yet untouched, and another chocolate soda fountain treat."
370583,Work truck with soda bottles and foreign language parked in front of a bar
652145,Two little boys eating pizza and soda at school.
372136,A doughnut and soda are shown sitting on a table.
311307,A small cow stands near a market display of soda bottles.
317631,A sandwich and can of soda on a table.
242110,A pile of pizza boxes and soda packages with people standing around it.
662809,"A plate with bananas, ice cream and soda on it."
628585,"A hot dog, beef sandwich, and soda on a table in the Costco food court."
487697,A dog playing with a plastic soda bottle on the floor
631441,A piece of pizza sat on a plate with a cup of soda near by.
229100,A tray with three hot dogs loaded with toppings sitting on a table with a couple of soda cans.
776050,a red soda machine on a long road
86075,A pepsi soda on the table with a tray of bread and vegetables
782244,A margarita pizza in a restaurant with a soda on the side. 
45524,"A soda can, a pen, a cell phone and a fruit drink mix packet sitting on a table with a computer keyboard."
320179,There is a sign for doughnuts above a sign for soda pop.
762928,The pizza is next to a pitcher of soda in a restaurant. 
669652,A woman seated and another standing with a cake and soda on the table
780092,A teenaged boy on a school campus holding a soda and jumping on his skateboard. 
510476, a partially eaten sandwich and a soda
533733,A hot dog sitting next to a soda and ketchup.
503203,A close up view of a pizza sitting on a table with a soda in the back.
80917,A store with a number of soda signs. 
545014,a large plate of food with a glass of soda by it
577029,A personal pizza in a box with 20 ounce soda pop
486893,Two bottles of soda sit near a sandwich.
578135,a man is doing a trick on a skateboard
206291,a man riding a blue surfboard on top of a wave.
305847,there is a man standing and playing a video game
637139,A speckle coated dog is catching a blue Frisbee.
72936,A yellow and blue bus is parked in a lot.
712469,A woman holding a smart phone in her hands.
112134,Two men in yellow jackets sitting at a table eating
532260,Man leaning over the side of an old green steam engine train. 
311437,A woman about to catch a frisbee on a beach.
91511,A cat lays down on top of a book on a gray office chair.
216364,"A glass dish of crisp, surrounded by apples, a creamer, and a spoon. "
137056,A bathroom with a white toilet sitting next to a sink.
19656,"Vehicles at a car show are shown, a small car and a motorcycle.
"
415840,Men in hard hats are on small motorcycles.
220314,Two zebras are standing in the grass near a tree.
809460,A person on skis jumps down a snowy hill.
518382,A woman pushing a cart filled with lots of luggage.
40429,A group of young people sitting on a couch next to a guy playing a Nintendo Wii.
631719,A wildly painted utility truck sits in a gravel parking lot
103869,A large orange cat sleeps on the hood of a car.
609418,A man sitting under a stop sign on the side of street.
67378,Cow graze in a field outside of a rural township.
308053,An adult and child giraffe standing next to a street of traffic.
192612,Lady teach a class and uses her laptop
408777,An old man wearing glasses is looking at the camera. 
4410,A messy room with a laptop on a bed.
223388,A person riding on a snowboard doing a round on the snow.
218206,a bear partially submerged in a body of water
405633,The woman is enjoying ner time at the keyboard.
774266,A fire hydrant with a strange face on it.
687934,a truck sits in front of a building 
432058,A man presents a cake with lit candles on it to a seated man.
718039,a man and a cat lying on a couch
385255,A group of chefs preparing food inside of a kitchen.
534923,The baseball player is waiting for the pitch.
57329,An old fashioned biplane with its propeller spinning.
74844,"A man taking a selfie in a bathroom with a toilet, sink and shower."
367631,A man is driving a truck down a narrow street.
330729,A hand holding a pair of giant scissors above boxes.
255328,cheese pizza with leaves on it and cheese and tortilla shells 
162085,A pair of young women hold tennis balls and rackets.
391538,"A person who is  skiing in a desolate, snowy area."
273319,A fan sitting in the middle of a room next to a sink.
770191,A red and white terrier dog chewing on a yellow frisbee. 
21925,A pan of homemade pizza with vegetable and cheese toppings.
440172,Black television sitting on the corner of a bathroom wall. 
346325,there is a fire hydrant that is painted all silver
293627,a bathroom with a bath tub and a toilet
413993,three bags packed in the middle of a tidy livingroom
247811,Two giraffe and a zebra are standing in a field.
733095,THIS IS A MAN AT WORK AND I THINK HE WORKS WITH LEMONS
52365,a skate park with multiple kids on skateboards
494689,A man on a surfboard riding a wave in the ocean.
176557,Two giraffe standing in the grass with necks bent looking down.
490046,The bowl of noodle salad has broccoli and meat in it.
153901,An open laptop computer sitting on top of a desk.
262281,A table with plates of food that include pizza and salad.
686827,An oven sits on a sidewalk outside a house.
87135,a man in a red jacket and hat on a boat
671131,A bus that is headed towards the subway shuttle for an airport. 
810227,A pair of high heels sitting near a vase with flowers in it.
812984,Two newborn lambs are standing behind their mother. 
101137,A pizza with mushrooms and carrots as toppings
708378,A man and a women posing next to one another in front of a table.
755853,Two animals laying in the grass near each other.
402979,Two dolls standing on top of a pile of cronuts.
68941,Sandwich and pasta salad with a drink for one
69331,A man jumping high in the sky with a surf board
398926,A young man playing baseball on his Wii video game console.
709483,A surfer rides a wave with another person in the foreground.
349157,an old black and white photo of a train
92273,Three women sitting on a bench in front of a painting looking at their phones. 
735226,A large building that has a clock on it.
61671,A boy hitting a tennis ball with a tennis racket on a tennis court.
507906,This an old fashion picture of trucks and a horse drawn carriage in front of some apartment buildings.
240848,A bus coming up the road to stop at a bus stop.
232209,A commercial bathroom sink area decorated with flowers.
735137,A truck full of oranges drives down the street.
170290,A row of wooden surfboards sitting on a rack on the beach.
35860,a giant four level frosted chocolate cake on a plate
740893,A striped tie with a blue oxford shirt.
701982,Bird in tree standing on half an orange with seeds. 
292736,High stone tower with windows in an old village.
122506,A woman is posing wearing a yellow shirt and a polka dot skirt
459076,there are three zebras standing together in the wild
704662,People walking through snow holding skis and poles.
325158,A very tall church with a clock on it.
159117,The man in a suit cuts the cake at a gathering.
726656,Several cows that are lined up next to one another.
757073,A man petting an elephant while holding a boy.
809304,A cat lying across the top of the microwave
317261,A woman is riding a horse in a field. 
376059,A air blimp is flying over the city skyline as birds are perched on a brick building nearby. 
230725,A young boy standing in the rain holding an umbrella next to a boy wearing a baseball cap. 
151408,A woman looking into the camera holding a pair of scissors.
149128,A white kitchen filled with a refrigerator freezer.
466712,A banana is sitting next to a can of soup.
261768,A red train on tracks next to a station platform.
224591,A green truck parked in the middle of a garage.
651804,"A small desk set up with a variety of electronics
"
172844,A BATHROOM WITH A TOILET SINK AND WINDOW
370383,Two men play a game together using the Nintendo Wii gaming system. 
257496,A catcher in white uniform during a baseball game.
167548,A little boy sitting on top of a skateboard.
293432,A blue and silver color elevated train traveling through the station.
689902,A very old bus is in on a narrow asian street.
322634,A train pulling past a church with a large clock tower.
92159,People enjoying the beach on a nice day.
592670,Four men playing Ultimate Frisbee in a park.
546560,"A person on a skateboard on a low platform with a ramp, near a graffiti wall."
580716,The large bird stands on rocks near the beach.
375373,There are many cars in the reflection of a side view mirror of a car. 
740248,Street lights in the middle of a street
568025,A giraffe standing next to a palm tree on a field.
120274,A herd of wild animals grazing on a dry grass field.
344965,"A small, black train is on its tracks by a fence."
15204,A tennis player rushes to hit a tennis ball.
388514,A person laying on a beach chair under an umbrella
465752,a man that is snowboarding down a snowy hill
