COCO ID,Caption
681396,a plate of food that has some french fries and a burger
281747,Quarter of a giant burger served on a plastic plate
825720,This is two birds pecking at the remnants of a burger at an outdoor restaurant.
239862,A plate with a burger and fries and the burger has a knife in it.
358631,Two burger sandwiches on top of a table.
195237,A burger and a salad are being displayed on a plate. 
10813,A cheese burger resting next to a pile of fries.
588697,a try that has some soda and a burger on it
65975, a person eating a burger and fries on his plate
108983,"A burger with fried chicken, lettuce, and pickles on it."
43133,"Two plates with chips, and one with a burger on it."
784808,a hotdog and burger on a blue plate
125560,"Cole slaw, burger with tomato and lettuce and condiments arranged on a white plate with green stripes."
521108,A plate that has a burger and a bucket of fries on it.
344555,A guy with a cigarette pointing at a burger
229375,A lavish burger on a plate in a restaurant prior to consumption
336885,A chicken burger with corn and fries on the side.
45512,a plate with chis sits next to a plate with chips and a burger
515903,A plate with a burger and fries on it
521270,a burger on a plate and a glass of water
189199,"A burger is stacked with tomatoes, onion, lettuce and a pickle on the side."
3044,A burger and a bunch of fries on a plate.
121402,A plate of food with a burger and coleslaw.
248383,A girl eats a messy burger with ketchup on her face.
818197,A white plate topped with a burger and criss cut fries.
798097,A perso holding a small burger with an open laptop on a table.
68231,A half eaten burger with a plate of fries next to mason jars.
788971,A burger sitting next to a cup of soup and crackers.
725274,A burger with a doughnut for the bun.
413013,"A plate of food featuring burger patties, potatoes and carrots. "
404471,a meal is set comprised of salad and a burger
46742,A plate of chips and a plate of chips and a burger with a saltshaker nearby.
372729,On a plate is kept a burger and a bowl of broccoli and a fork.
817510,A big burger is served with a side of waffle fries.
702510,There is a chicken burger next to a bowl of soup on the table.
116978,A young person eating pizza and the other eating a burger and fries.
774362,a little girl is eating a burger outside
718851,there is a burger that is topped with a donut
9877,"A red and white napkin covered with fries, a burger and coleslaw"
783851,a close up of a plate of food with a hot dog and a burger
707898,A cheese burger that has some lettuce and tomato on it.
46626,A woman eats a burger next to a street vendor.
100483,Fast food burger and fries sitting on the wrappers.
432836,A burger that is on a plate on a table.
788357,A view of a burger with a hotdog and salad on the plate.
784361,A plate with a burger that is halfway eaten. 
66830,Someone holding a burger with a jar of beer. 
245052,A burger and fries with a glass of wine and a knife sticking out of the burger.
344240,A man with a cigarette giving a thumbs up and pointing at his burger on a plate.
805379,"A burger sitting on a table, with another next to it."
530076,A burger is pierced with a knife on a cutting board.
44435,Two plates with a burger and some chips.
192039,a close up of a plate with a burger and a hot dog
190122,a burger and salad are on a plate for dinner
423064,A burger and french fries on a table.
789025,Man biting into burger with a large festival behind him
402090,close up of a chicken burger in a persons hand
537317,A burger that is sitting on top of foil.
217562,A crowded table has a plate containing a burger with sauce and side of vegetables. 
521729,A white plate topped with a burger and fries.
77824,There are french fries and a burger on the table.
801367,a man is holding up a tiny burger
401999,pasta salad and a burger on a plate
180886,a burger and a pickle sit on a plate
312467,"A kitchen with a refrigerator, microwave, coffee maker, sink and a blender."
541868,"A monitor, keyboard, coffee cup, and plastic bottle sit on a table. "
711416,a bunch of green bananas and some ripe bananas next to a coffee cup
637632,A cutting sitting upright in a pottery bowl on a coffee table
38967,Two cups of coffee are on a table by an italian coffee maker.
178131,"Shot of living area that includes chairs, a couch, a coffee table and a television."
345631,A woman siting at a table in front of a coffee cup in a a kitchen.
609666,a kitchen with a sink windows and a coffee maker
475927,A cup of coffee with a small piece of melba toast on a table.
488991,There is a fancy high end coffee maker on a granite counter top.
424013,A coffee cup with lots of weird things painted on its inside.
41205,Two cups of coffee are on a table next to a coffee maker.
421544,A coffee cup with clever graphics on the inside.
549727,A man holding a pirate coffee cup in his right hand.
419720,A coffee cup has labels showing different amounts. 
329277,A shelf with many books and coffee cups.
393699,a kitchen with two microwaves in it and a coffee maker
4459,Close up of a white kitchen setup with a coffee maker on counter.
502504,Three motor cycles are sitting in the street outside a coffee house as people walk by.
357528,"A living area with a group of sofas, coffee table and television."
296546,Decorated coffee cup and knife sitting on a patterned surface.
418457,A very nice coffee mug with lots of writing.
119426,There is a coffee cup and water bottle on a desk
278950,"white kitchen sink with white coffee cups, wine glasses and knives"
499483,"A banana, a muffin and a stabucks coffee"
398689,A kitchen area with counter holding a laptop and coffee cup.
57319,A dessert plate with cobbler and a cup of coffee to the side
299684,There is a white coffee cup with a skull and bones on it next to a knife
275881,"A kitchen with a stove, sink and coffee maker."
35841,two small cups filled with coffee next to a silver coffee pot
513836,"A break room with tables, chairs, microwave and a coffee maker."
628302,A long counter holding an assortment of coffee related items.
44511,Tow cups of coffee are presented in front of a vintage single cup coffee maker.
303249,a duncan donut with a cup of coffee
